iter	Passed	Remaining
649	1033	556
650	1035	555
651	1037	553
652	1038	551
653	1040	550
654	1041	548
655	1043	547
656	1044	545
657	1045	543
658	1047	542
659	1049	540
660	1050	538
661	1052	537
662	1053	535
663	1055	533
664	1056	532
665	1057	530
666	1059	528
667	1060	527
668	1062	525
669	1063	524
670	1065	522
671	1067	521
672	1069	519
673	1070	517
674	1072	516
675	1073	514
676	1075	512
677	1076	511
678	1078	509
679	1079	508
680	1081	506
681	1082	504
682	1084	503
683	1085	501
684	1086	499
685	1088	498
686	1090	496
687	1091	495
688	1093	493
689	1095	492
690	1096	490
691	1097	488
692	1099	487
693	1101	485
694	1102	483
695	1103	482
696	1105	480
697	1106	478
698	1108	477
699	1109	475
700	1111	473
701	1112	472
702	1114	470
703	1116	469
704	1117	467
705	1118	465
706	1120	464
707	1122	462
708	1123	461
709	1124	459
710	1126	457
711	1127	456
712	1128	454
713	1130	452
714	1131	451
715	1132	449
716	1134	447
717	1136	446
718	1137	444
719	1138	442
720	1140	441
721	1141	439
722	1143	437
723	1144	436
724	1145	434
725	1147	432
726	1148	431
727	1150	429
728	1151	428
729	1152	426
730	1154	424
731	1155	423
732	1157	421
733	1158	419
734	1159	418
735	1161	416
736	1162	414
737	1164	413
738	1166	411
739	1167	410
740	1168	408
741	1170	406
742	1171	405
743	1173	403
744	1174	401
745	1175	400
746	1177	398
747	1178	397
748	1180	395
749	1181	393
750	1183	392
751	1184	390
752	1186	389
753	1187	387
754	1188	385
755	1190	384
756	1191	382
757	1193	381
758	1195	379
759	1196	377
760	1197	376
761	1199	374
762	1200	373
763	1202	371
764	1204	369
765	1205	368
766	1207	366
767	1209	365
768	1210	363
769	1211	361
770	1213	360
771	1214	358
772	1215	357
773	1217	355
774	1219	354
775	1221	352
776	1222	350
777	1223	349
778	1225	347
779	1226	345
780	1227	344
781	1229	342
782	1230	341
783	1231	339
784	1233	337
785	1234	336
786	1236	334
787	1237	332
788	1238	331
789	1240	329
790	1241	327
791	1242	326
792	1243	324
793	1245	323
794	1247	321
795	1248	319
796	1250	318
797	1251	316
798	1252	315
799	1254	313
800	1255	311
801	1256	310
802	1258	308
803	1259	307
804	1261	305
805	1263	304
806	1264	302
807	1266	300
808	1267	299
809	1268	297
810	1270	295
811	1271	294
812	1273	292
813	1274	291
814	1276	289
815	1277	288
816	1279	286
817	1280	284
818	1281	283
819	1283	281
820	1284	280
821	1285	278
822	1287	276
823	1288	275
824	1290	273
825	1292	272
826	1293	270
827	1295	269
828	1296	267
829	1298	265
830	1299	264
831	1301	262
832	1302	261
833	1304	259
834	1306	258
835	1307	256
836	1309	254
837	1310	253
838	1312	251
839	1313	250
840	1314	248
841	1316	247
842	1319	245
843	1321	244
844	1322	242
845	1324	241
846	1325	239
847	1327	237
848	1328	236
849	1329	234
850	1331	233
851	1332	231
852	1334	229
853	1336	228
854	1337	226
855	1339	225
856	1340	223
857	1342	222
858	1344	220
859	1345	219
860	1347	217
861	1350	216
862	1352	214
863	1354	213
864	1355	211
865	1357	210
866	1358	208
867	1360	206
868	1361	205
869	1363	203
870	1365	202
871	1366	200
872	1368	199
873	1370	197
874	1372	196
875	1374	194
876	1375	192
877	1377	191
878	1379	189
879	1380	188
880	1382	186
881	1384	185
882	1385	183
883	1387	182
884	1388	180
885	1389	178
886	1391	177
887	1393	175
888	1394	174
889	1396	172
890	1397	171
891	1399	169
892	1400	167
893	1402	166
894	1403	164
895	1405	163
896	1408	161
897	1409	160
898	1411	158
899	1412	156
900	1414	155
901	1415	153
902	1416	152
903	1418	150
904	1419	148
905	1420	147
906	1422	145
907	1424	144
908	1425	142
909	1427	141
910	1428	139
911	1429	137
912	1431	136
913	1432	134
914	1434	133
915	1435	131
916	1437	130
917	1438	128
918	1440	126
919	1441	125
920	1443	123
921	1444	122
922	1445	120
923	1447	119
924	1449	117
925	1451	115
926	1452	114
927	1453	112
928	1455	111
929	1456	109
930	1458	108
931	1459	106
932	1461	104
933	1462	103
934	1464	101
935	1467	100
936	1468	98
937	1469	97
938	1471	95
939	1472	94
940	1473	92
941	1475	90
942	1476	89
943	1478	87
944	1480	86
945	1481	84
946	1482	82
947	1484	81
948	1485	79
949	1486	78
950	1488	76
951	1489	75
952	1491	73
953	1493	71
954	1494	70
955	1496	68
956	1497	67
957	1498	65
958	1500	64
959	1501	62
960	1503	61
961	1504	59
962	1505	57
963	1507	56
964	1509	54
965	1511	53
966	1512	51
967	1513	50
968	1515	48
969	1517	46
970	1518	45
971	1519	43
972	1521	42
973	1523	40
974	1524	39
975	1526	37
976	1527	35
977	1529	34
978	1530	32
979	1531	31
980	1533	29
981	1534	28
982	1536	26
983	1538	25
984	1540	23
985	1541	21
986	1542	20
987	1544	18
988	1545	17
989	1547	15
990	1548	14
991	1549	12
992	1551	10
993	1552	9
994	1554	7
995	1555	6
996	1556	4
997	1558	3
998	1559	1
999	1561	0
